"YEAR","GEO","DGUID","Type of unit","UOM","COORDINATE","VALUE"
"2021","Norfolk, Ontario","2011S0504547","One bedroom units","Dollars","114.2.2",
"2011","Norfolk, Ontario","2011S0504547","Two bedroom units","Dollars","114.2.3",
"2012","Norfolk, Ontario","2011S0504547","Two bedroom units","Dollars","114.2.3",
"2013","Norfolk, Ontario","2011S0504547","Two bedroom units","Dollars","114.2.3",
"2014","Norfolk, Ontario","2011S0504547","Two bedroom units","Dollars","114.2.3",
"2015","Norfolk, Ontario","2011S0504547","Two bedroom units","Dollars","114.2.3",
"2016","Norfolk, Ontario","2011S0504547","Two bedroom units","Dollars","114.2.3",
"2017","Norfolk, Ontario","2011S0504547","Two bedroom units","Dollars","114.2.3",
"2018","Norfolk, Ontario","2011S0504547","Two bedroom units","Dollars","114.2.3",
"2019","Norfolk, Ontario","2011S0504547","Two bedroom units","Dollars","114.2.3",
"2020","Norfolk, Ontario","2011S0504547","Two bedroom units","Dollars","114.2.3",
"2021","Norfolk, Ontario","2011S0504547","Two bedroom units","Dollars","114.2.3",
"2011","Norfolk, Ontario","2011S0504547","Three bedroom units","Dollars","114.2.4",
"2012","Norfolk, Ontario","2011S0504547","Three bedroom units","Dollars","114.2.4",
"2013","Norfolk, Ontario","2011S0504547","Three bedroom units","Dollars","114.2.4",
"2014","Norfolk, Ontario","2011S0504547","Three bedroom units","Dollars","114.2.4",
"2015","Norfolk, Ontario","2011S0504547","Three bedroom units","Dollars","114.2.4",
"2016","Norfolk, Ontario","2011S0504547","Three bedroom units","Dollars","114.2.4",
"2017","Norfolk, Ontario","2011S0504547","Three bedroom units","Dollars","114.2.4",
"2018","Norfolk, Ontario","2011S0504547","Three bedroom units","Dollars","114.2.4",
"2019","Norfolk, Ontario","2011S0504547","Three bedroom units","Dollars","114.2.4",
"2020","Norfolk, Ontario","2011S0504547","Three bedroom units","Dollars","114.2.4",
"2021","Norfolk, Ontario","2011S0504547","Three bedroom units","Dollars","114.2.4",
"2011","Norfolk, Ontario","2011S0504547","One bedroom units","Dollars","114.1.2","571"
"2012","Norfolk, Ontario","2011S0504547","One bedroom units","Dollars","114.1.2","585"
"2013","Norfolk, Ontario","2011S0504547","One bedroom units","Dollars","114.1.2","607"
"2014","Norfolk, Ontario","2011S0504547","One bedroom units","Dollars","114.1.2","644"
"2015","Norfolk, Ontario","2011S0504547","One bedroom units","Dollars","114.1.2","636"
"2016","Norfolk, Ontario","2011S0504547","One bedroom units","Dollars","114.1.2","633"
"2017","Norfolk, Ontario","2011S0504547","One bedroom units","Dollars","114.1.2","674"
"2018","Norfolk, Ontario","2011S0504547","One bedroom units","Dollars","114.1.2","736"
"2019","Norfolk, Ontario","2011S0504547","One bedroom units","Dollars","114.1.2","737"
"2020","Norfolk, Ontario","2011S0504547","One bedroom units","Dollars","114.1.2","765"
"2021","Norfolk, Ontario","2011S0504547","One bedroom units","Dollars","114.1.2","828"
"2011","Norfolk, Ontario","2011S0504547","Two bedroom units","Dollars","114.1.3","628"
"2012","Norfolk, Ontario","2011S0504547","Two bedroom units","Dollars","114.1.3","642"
"2013","Norfolk, Ontario","2011S0504547","Two bedroom units","Dollars","114.1.3","635"
"2014","Norfolk, Ontario","2011S0504547","Two bedroom units","Dollars","114.1.3","654"
"2015","Norfolk, Ontario","2011S0504547","Two bedroom units","Dollars","114.1.3","669"
"2016","Norfolk, Ontario","2011S0504547","Two bedroom units","Dollars","114.1.3","683"
"2017","Norfolk, Ontario","2011S0504547","Two bedroom units","Dollars","114.1.3","749"
"2018","Norfolk, Ontario","2011S0504547","Two bedroom units","Dollars","114.1.3","733"
"2019","Norfolk, Ontario","2011S0504547","Two bedroom units","Dollars","114.1.3","781"
"2020","Norfolk, Ontario","2011S0504547","Two bedroom units","Dollars","114.1.3","779"
"2021","Norfolk, Ontario","2011S0504547","Two bedroom units","Dollars","114.1.3","869"
"2011","Norfolk, Ontario","2011S0504547","Three bedroom units","Dollars","114.1.4","763"
"2012","Norfolk, Ontario","2011S0504547","Three bedroom units","Dollars","114.1.4","708"
"2013","Norfolk, Ontario","2011S0504547","Three bedroom units","Dollars","114.1.4",
"2014","Norfolk, Ontario","2011S0504547","Three bedroom units","Dollars","114.1.4","819"
"2015","Norfolk, Ontario","2011S0504547","Three bedroom units","Dollars","114.1.4","869"
"2016","Norfolk, Ontario","2011S0504547","Three bedroom units","Dollars","114.1.4",
"2017","Norfolk, Ontario","2011S0504547","Three bedroom units","Dollars","114.1.4",
"2018","Norfolk, Ontario","2011S0504547","Three bedroom units","Dollars","114.1.4","912"
"2019","Norfolk, Ontario","2011S0504547","Three bedroom units","Dollars","114.1.4",
"2020","Norfolk, Ontario","2011S0504547","Three bedroom units","Dollars","114.1.4",
"2021","Norfolk, Ontario","2011S0504547","Three bedroom units","Dollars","114.1.4",
"2011","North Bay, Ontario","2011S0504575","One bedroom units","Dollars","101.3.2","658"
"2012","North Bay, Ontario","2011S0504575","One bedroom units","Dollars","101.3.2","673"
"2013","North Bay, Ontario","2011S0504575","One bedroom units","Dollars","101.3.2","712"
"2014","North Bay, Ontario","2011S0504575","One bedroom units","Dollars","101.3.2","704"
"2015","North Bay, Ontario","2011S0504575","One bedroom units","Dollars","101.3.2","743"
"2016","North Bay, Ontario","2011S0504575","One bedroom units","Dollars","101.3.2","748"
"2017","North Bay, Ontario","2011S0504575","One bedroom units","Dollars","101.3.2","758"
"2018","North Bay, Ontario","2011S0504575","One bedroom units","Dollars","101.3.2","771"
"2019","North Bay, Ontario","2011S0504575","One bedroom units","Dollars","101.3.2","804"
"2020","North Bay, Ontario","2011S0504575","One bedroom units","Dollars","101.3.2","832"
"2021","North Bay, Ontario","2011S0504575","One bedroom units","Dollars","101.3.2","859"
"2011","North Bay, Ontario","2011S0504575","Two bedroom units","Dollars","101.3.3","802"
"2012","North Bay, Ontario","2011S0504575","Two bedroom units","Dollars","101.3.3","846"
"2013","North Bay, Ontario","2011S0504575","Two bedroom units","Dollars","101.3.3","863"
"2014","North Bay, Ontario","2011S0504575","Two bedroom units","Dollars","101.3.3","881"
"2015","North Bay, Ontario","2011S0504575","Two bedroom units","Dollars","101.3.3","905"
"2016","North Bay, Ontario","2011S0504575","Two bedroom units","Dollars","101.3.3","914"
"2017","North Bay, Ontario","2011S0504575","Two bedroom units","Dollars","101.3.3","921"
"2018","North Bay, Ontario","2011S0504575","Two bedroom units","Dollars","101.3.3","963"
"2019","North Bay, Ontario","2011S0504575","Two bedroom units","Dollars","101.3.3","993"
"2020","North Bay, Ontario","2011S0504575","Two bedroom units","Dollars","101.3.3","1030"
"2021","North Bay, Ontario","2011S0504575","Two bedroom units","Dollars","101.3.3","1059"
"2011","North Bay, Ontario","2011S0504575","Three bedroom units","Dollars","101.3.4","904"
"2012","North Bay, Ontario","2011S0504575","Three bedroom units","Dollars","101.3.4","915"
"2013","North Bay, Ontario","2011S0504575","Three bedroom units","Dollars","101.3.4","968"
"2014","North Bay, Ontario","2011S0504575","Three bedroom units","Dollars","101.3.4","986"
"2015","North Bay, Ontario","2011S0504575","Three bedroom units","Dollars","101.3.4","980"
"2016","North Bay, Ontario","2011S0504575","Three bedroom units","Dollars","101.3.4","1039"
"2017","North Bay, Ontario","2011S0504575","Three bedroom units","Dollars","101.3.4","1048"
"2018","North Bay, Ontario","2011S0504575","Three bedroom units","Dollars","101.3.4","1074"
"2019","North Bay, Ontario","2011S0504575","Three bedroom units","Dollars","101.3.4","1122"
"2020","North Bay, Ontario","2011S0504575","Three bedroom units","Dollars","101.3.4","1135"
"2021","North Bay, Ontario","2011S0504575","Three bedroom units","Dollars","101.3.4","1206"
"2011","North Bay, Ontario","2011S0504575","One bedroom units","Dollars","101.2.2",
"2012","North Bay, Ontario","2011S0504575","One bedroom units","Dollars","101.2.2",
"2013","North Bay, Ontario","2011S0504575","One bedroom units","Dollars","101.2.2",
"2014","North Bay, Ontario","2011S0504575","One bedroom units","Dollars","101.2.2",
"2015","North Bay, Ontario","2011S0504575","One bedroom units","Dollars","101.2.2",
"2016","North Bay, Ontario","2011S0504575","One bedroom units","Dollars","101.2.2",
"2017","North Bay, Ontario","2011S0504575","One bedroom units","Dollars","101.2.2",
"2018","North Bay, Ontario","2011S0504575","One bedroom units","Dollars","101.2.2",
"2019","North Bay, Ontario","2011S0504575","One bedroom units","Dollars","101.2.2",
"2020","North Bay, Ontario","2011S0504575","One bedroom units","Dollars","101.2.2",
"2021","North Bay, Ontario","2011S0504575","One bedroom units","Dollars","101.2.2",
"2011","North Bay, Ontario","2011S0504575","Two bedroom units","Dollars","101.2.3","800"
"2012","North Bay, Ontario","2011S0504575","Two bedroom units","Dollars","101.2.3","839"
"2013","North Bay, Ontario","2011S0504575","Two bedroom units","Dollars","101.2.3","824"
"2014","North Bay, Ontario","2011S0504575","Two bedroom units","Dollars","101.2.3","940"
"2015","North Bay, Ontario","2011S0504575","Two bedroom units","Dollars","101.2.3",
"2016","North Bay, Ontario","2011S0504575","Two bedroom units","Dollars","101.2.3",
"2017","North Bay, Ontario","2011S0504575","Two bedroom units","Dollars","101.2.3",
"2018","North Bay, Ontario","2011S0504575","Two bedroom units","Dollars","101.2.3","962"
"2019","North Bay, Ontario","2011S0504575","Two bedroom units","Dollars","101.2.3","988"
"2020","North Bay, Ontario","2011S0504575","Two bedroom units","Dollars","101.2.3","1006"
"2021","North Bay, Ontario","2011S0504575","Two bedroom units","Dollars","101.2.3",
"2011","North Bay, Ontario","2011S0504575","Three bedroom units","Dollars","101.2.4","884"
"2012","North Bay, Ontario","2011S0504575","Three bedroom units","Dollars","101.2.4","868"
"2013","North Bay, Ontario","2011S0504575","Three bedroom units","Dollars","101.2.4","920"
"2014","North Bay, Ontario","2011S0504575","Three bedroom units","Dollars","101.2.4","926"
"2015","North Bay, Ontario","2011S0504575","Three bedroom units","Dollars","101.2.4","900"
"2016","North Bay, Ontario","2011S0504575","Three bedroom units","Dollars","101.2.4","983"
"2017","North Bay, Ontario","2011S0504575","Three bedroom units","Dollars","101.2.4","1003"
"2018","North Bay, Ontario","2011S0504575","Three bedroom units","Dollars","101.2.4","1008"
"2019","North Bay, Ontario","2011S0504575","Three bedroom units","Dollars","101.2.4","1110"
"2020","North Bay, Ontario","2011S0504575","Three bedroom units","Dollars","101.2.4","1104"
"2021","North Bay, Ontario","2011S0504575","Three bedroom units","Dollars","101.2.4","1110"
"2011","North Bay, Ontario","2011S0504575","One bedroom units","Dollars","101.1.2","659"
"2012","North Bay, Ontario","2011S0504575","One bedroom units","Dollars","101.1.2","675"
"2013","North Bay, Ontario","2011S0504575","One bedroom units","Dollars","101.1.2","713"
"2014","North Bay, Ontario","2011S0504575","One bedroom units","Dollars","101.1.2","707"
"2015","North Bay, Ontario","2011S0504575","One bedroom units","Dollars","101.1.2","743"
"2016","North Bay, Ontario","2011S0504575","One bedroom units","Dollars","101.1.2","748"
"2017","North Bay, Ontario","2011S0504575","One bedroom units","Dollars","101.1.2","759"
"2018","North Bay, Ontario","2011S0504575","One bedroom units","Dollars","101.1.2","773"
"2019","North Bay, Ontario","2011S0504575","One bedroom units","Dollars","101.1.2","805"
"2020","North Bay, Ontario","2011S0504575","One bedroom units","Dollars","101.1.2","833"
"2021","North Bay, Ontario","2011S0504575","One bedroom units","Dollars","101.1.2","862"
"2011","North Bay, Ontario","2011S0504575","Two bedroom units","Dollars","101.1.3","802"
"2012","North Bay, Ontario","2011S0504575","Two bedroom units","Dollars","101.1.3","847"
"2013","North Bay, Ontario","2011S0504575","Two bedroom units","Dollars","101.1.3","866"
"2014","North Bay, Ontario","2011S0504575","Two bedroom units","Dollars","101.1.3","878"
"2015","North Bay, Ontario","2011S0504575","Two bedroom units","Dollars","101.1.3","905"
"2016","North Bay, Ontario","2011S0504575","Two bedroom units","Dollars","101.1.3","912"
"2017","North Bay, Ontario","2011S0504575","Two bedroom units","Dollars","101.1.3","919"
"2018","North Bay, Ontario","2011S0504575","Two bedroom units","Dollars","101.1.3","964"
"2019","North Bay, Ontario","2011S0504575","Two bedroom units","Dollars","101.1.3","993"
"2020","North Bay, Ontario","2011S0504575","Two bedroom units","Dollars","101.1.3","1032"
"2021","North Bay, Ontario","2011S0504575","Two bedroom units","Dollars","101.1.3","1057"
"2011","North Bay, Ontario","2011S0504575","Three bedroom units","Dollars","101.1.4","946"
"2012","North Bay, Ontario","2011S0504575","Three bedroom units","Dollars","101.1.4","973"
"2013","North Bay, Ontario","2011S0504575","Three bedroom units","Dollars","101.1.4","1031"
"2014","North Bay, Ontario","2011S0504575","Three bedroom units","Dollars","101.1.4","1060"
"2015","North Bay, Ontario","2011S0504575","Three bedroom units","Dollars","101.1.4","1080"
"2016","North Bay, Ontario","2011S0504575","Three bedroom units","Dollars","101.1.4","1124"
"2017","North Bay, Ontario","2011S0504575","Three bedroom units","Dollars","101.1.4","1134"
"2018","North Bay, Ontario","2011S0504575","Three bedroom units","Dollars","101.1.4","1177"
"2019","North Bay, Ontario","2011S0504575","Three bedroom units","Dollars","101.1.4","1135"
"2020","North Bay, Ontario","2011S0504575","Three bedroom units","Dollars","101.1.4","1183"
"2021","North Bay, Ontario","2011S0504575","Three bedroom units","Dollars","101.1.4","1367"
"2011","Oshawa, Ontario","2011S0503532","One bedroom units","Dollars","104.3.2","819"
"2012","Oshawa, Ontario","2011S0503532","One bedroom units","Dollars","104.3.2","839"
"2013","Oshawa, Ontario","2011S0503532","One bedroom units","Dollars","104.3.2","874"
"2014","Oshawa, Ontario","2011S0503532","One bedroom units","Dollars","104.3.2","886"
"2015","Oshawa, Ontario","2011S0503532","One bedroom units","Dollars","104.3.2","906"
"2016","Oshawa, Ontario","2011S0503532","One bedroom units","Dollars","104.3.2","982"
"2017","Oshawa, Ontario","2011S0503532","One bedroom units","Dollars","104.3.2","1037"
"2018","Oshawa, Ontario","2011S0503532","One bedroom units","Dollars","104.3.2","1167"
"2019","Oshawa, Ontario","2011S0503532","One bedroom units","Dollars","104.3.2","1171"
"2020","Oshawa, Ontario","2011S0503532","One bedroom units","Dollars","104.3.2","1182"
"2021","Oshawa, Ontario","2011S0503532","One bedroom units","Dollars","104.3.2","1268"
"2011","Oshawa, Ontario","2011S0503532","Two bedroom units","Dollars","104.3.3","941"
"2012","Oshawa, Ontario","2011S0503532","Two bedroom units","Dollars","104.3.3","940"
"2013","Oshawa, Ontario","2011S0503532","Two bedroom units","Dollars","104.3.3","986"
"2014","Oshawa, Ontario","2011S0503532","Two bedroom units","Dollars","104.3.3","1012"
"2015","Oshawa, Ontario","2011S0503532","Two bedroom units","Dollars","104.3.3","1037"
"2016","Oshawa, Ontario","2011S0503532","Two bedroom units","Dollars","104.3.3","1112"
"2017","Oshawa, Ontario","2011S0503532","Two bedroom units","Dollars","104.3.3","1182"
"2018","Oshawa, Ontario","2011S0503532","Two bedroom units","Dollars","104.3.3","1248"
"2019","Oshawa, Ontario","2011S0503532","Two bedroom units","Dollars","104.3.3","1270"
"2020","Oshawa, Ontario","2011S0503532","Two bedroom units","Dollars","104.3.3","1354"
"2021","Oshawa, Ontario","2011S0503532","Two bedroom units","Dollars","104.3.3","1428"
"2011","Oshawa, Ontario","2011S0503532","Three bedroom units","Dollars","104.3.4","1103"
"2012","Oshawa, Ontario","2011S0503532","Three bedroom units","Dollars","104.3.4","1125"
"2013","Oshawa, Ontario","2011S0503532","Three bedroom units","Dollars","104.3.4","1182"
"2014","Oshawa, Ontario","2011S0503532","Three bedroom units","Dollars","104.3.4","1213"
"2015","Oshawa, Ontario","2011S0503532","Three bedroom units","Dollars","104.3.4","1237"
"2016","Oshawa, Ontario","2011S0503532","Three bedroom units","Dollars","104.3.4","1291"
"2017","Oshawa, Ontario","2011S0503532","Three bedroom units","Dollars","104.3.4","1326"
"2018","Oshawa, Ontario","2011S0503532","Three bedroom units","Dollars","104.3.4","1412"
"2019","Oshawa, Ontario","2011S0503532","Three bedroom units","Dollars","104.3.4","1464"
"2020","Oshawa, Ontario","2011S0503532","Three bedroom units","Dollars","104.3.4","1608"
"2021","Oshawa, Ontario","2011S0503532","Three bedroom units","Dollars","104.3.4","1657"
"2011","Oshawa, Ontario","2011S0503532","One bedroom units","Dollars","104.2.2",
"2012","Oshawa, Ontario","2011S0503532","One bedroom units","Dollars","104.2.2",
"2013","Oshawa, Ontario","2011S0503532","One bedroom units","Dollars","104.2.2",
"2014","Oshawa, Ontario","2011S0503532","One bedroom units","Dollars","104.2.2",
"2015","Oshawa, Ontario","2011S0503532","One bedroom units","Dollars","104.2.2",
"2016","Oshawa, Ontario","2011S0503532","One bedroom units","Dollars","104.2.2",
"2017","Oshawa, Ontario","2011S0503532","One bedroom units","Dollars","104.2.2",
"2018","Oshawa, Ontario","2011S0503532","One bedroom units","Dollars","104.2.2",
"2019","Oshawa, Ontario","2011S0503532","One bedroom units","Dollars","104.2.2",
"2020","Oshawa, Ontario","2011S0503532","One bedroom units","Dollars","104.2.2",
"2021","Oshawa, Ontario","2011S0503532","One bedroom units","Dollars","104.2.2",
"2011","Oshawa, Ontario","2011S0503532","Two bedroom units","Dollars","104.2.3","1036"
"2012","Oshawa, Ontario","2011S0503532","Two bedroom units","Dollars","104.2.3",
"2013","Oshawa, Ontario","2011S0503532","Two bedroom units","Dollars","104.2.3",
"2014","Oshawa, Ontario","2011S0503532","Two bedroom units","Dollars","104.2.3","1233"
"2015","Oshawa, Ontario","2011S0503532","Two bedroom units","Dollars","104.2.3","1148"
"2016","Oshawa, Ontario","2011S0503532","Two bedroom units","Dollars","104.2.3","1289"
"2017","Oshawa, Ontario","2011S0503532","Two bedroom units","Dollars","104.2.3","1442"
"2018","Oshawa, Ontario","2011S0503532","Two bedroom units","Dollars","104.2.3","1497"
"2019","Oshawa, Ontario","2011S0503532","Two bedroom units","Dollars","104.2.3",
"2020","Oshawa, Ontario","2011S0503532","Two bedroom units","Dollars","104.2.3",
"2021","Oshawa, Ontario","2011S0503532","Two bedroom units","Dollars","104.2.3",
"2011","Oshawa, Ontario","2011S0503532","Three bedroom units","Dollars","104.2.4","1131"
"2012","Oshawa, Ontario","2011S0503532","Three bedroom units","Dollars","104.2.4","1195"
"2013","Oshawa, Ontario","2011S0503532","Three bedroom units","Dollars","104.2.4","1240"
"2014","Oshawa, Ontario","2011S0503532","Three bedroom units","Dollars","104.2.4","1273"
"2015","Oshawa, Ontario","2011S0503532","Three bedroom units","Dollars","104.2.4","1315"
"2016","Oshawa, Ontario","2011S0503532","Three bedroom units","Dollars","104.2.4","1373"
"2017","Oshawa, Ontario","2011S0503532","Three bedroom units","Dollars","104.2.4","1369"
"2018","Oshawa, Ontario","2011S0503532","Three bedroom units","Dollars","104.2.4","1475"
"2019","Oshawa, Ontario","2011S0503532","Three bedroom units","Dollars","104.2.4","1536"
"2020","Oshawa, Ontario","2011S0503532","Three bedroom units","Dollars","104.2.4","1701"
"2021","Oshawa, Ontario","2011S0503532","Three bedroom units","Dollars","104.2.4","1790"
"2011","Oshawa, Ontario","2011S0503532","One bedroom units","Dollars","104.1.2","819"
"2012","Oshawa, Ontario","2011S0503532","One bedroom units","Dollars","104.1.2","839"
"2013","Oshawa, Ontario","2011S0503532","One bedroom units","Dollars","104.1.2","874"
"2014","Oshawa, Ontario","2011S0503532","One bedroom units","Dollars","104.1.2","885"
"2015","Oshawa, Ontario","2011S0503532","One bedroom units","Dollars","104.1.2","905"
"2016","Oshawa, Ontario","2011S0503532","One bedroom units","Dollars","104.1.2","979"
"2017","Oshawa, Ontario","2011S0503532","One bedroom units","Dollars","104.1.2","1038"
"2018","Oshawa, Ontario","2011S0503532","One bedroom units","Dollars","104.1.2","1168"
"2019","Oshawa, Ontario","2011S0503532","One bedroom units","Dollars","104.1.2","1168"
"2020","Oshawa, Ontario","2011S0503532","One bedroom units","Dollars","104.1.2","1182"
"2021","Oshawa, Ontario","2011S0503532","One bedroom units","Dollars","104.1.2","1267"
"2011","Oshawa, Ontario","2011S0503532","Two bedroom units","Dollars","104.1.3","941"
"2012","Oshawa, Ontario","2011S0503532","Two bedroom units","Dollars","104.1.3","939"
"2013","Oshawa, Ontario","2011S0503532","Two bedroom units","Dollars","104.1.3","985"
"2014","Oshawa, Ontario","2011S0503532","Two bedroom units","Dollars","104.1.3","1010"
"2015","Oshawa, Ontario","2011S0503532","Two bedroom units","Dollars","104.1.3","1035"
"2016","Oshawa, Ontario","2011S0503532","Two bedroom units","Dollars","104.1.3","1109"
"2017","Oshawa, Ontario","2011S0503532","Two bedroom units","Dollars","104.1.3","1179"
"2018","Oshawa, Ontario","2011S0503532","Two bedroom units","Dollars","104.1.3","1246"
"2019","Oshawa, Ontario","2011S0503532","Two bedroom units","Dollars","104.1.3","1264"
"2020","Oshawa, Ontario","2011S0503532","Two bedroom units","Dollars","104.1.3","1352"
"2021","Oshawa, Ontario","2011S0503532","Two bedroom units","Dollars","104.1.3","1417"
"2011","Oshawa, Ontario","2011S0503532","Three bedroom units","Dollars","104.1.4","1075"
"2012","Oshawa, Ontario","2011S0503532","Three bedroom units","Dollars","104.1.4","1053"
"2013","Oshawa, Ontario","2011S0503532","Three bedroom units","Dollars","104.1.4","1126"
"2014","Oshawa, Ontario","2011S0503532","Three bedroom units","Dollars","104.1.4","1153"
"2015","Oshawa, Ontario","2011S0503532","Three bedroom units","Dollars","104.1.4","1174"
"2016","Oshawa, Ontario","2011S0503532","Three bedroom units","Dollars","104.1.4","1198"
"2017","Oshawa, Ontario","2011S0503532","Three bedroom units","Dollars","104.1.4","1282"
"2018","Oshawa, Ontario","2011S0503532","Three bedroom units","Dollars","104.1.4","1352"
"2019","Oshawa, Ontario","2011S0503532","Three bedroom units","Dollars","104.1.4","1400"
"2020","Oshawa, Ontario","2011S0503532","Three bedroom units","Dollars","104.1.4","1499"
"2021","Oshawa, Ontario","2011S0503532","Three bedroom units","Dollars","104.1.4","1555"
"2011","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","One bedroom units","Dollars","105.3.2","854"
"2012","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","One bedroom units","Dollars","105.3.2","877"
"2013","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","One bedroom units","Dollars","105.3.2","884"
"2014","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","One bedroom units","Dollars","105.3.2","892"
"2015","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","One bedroom units","Dollars","105.3.2","925"
"2016","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","One bedroom units","Dollars","105.3.2","930"
"2017","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","One bedroom units","Dollars","105.3.2","968"
"2018","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","One bedroom units","Dollars","105.3.2","1025"
"2019","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","One bedroom units","Dollars","105.3.2","1109"
"2020","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","One bedroom units","Dollars","105.3.2","1165"
"2021","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","One bedroom units","Dollars","105.3.2","1204"
"2011","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Two bedroom units","Dollars","105.3.3","977"
"2012","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Two bedroom units","Dollars","105.3.3","992"
"2013","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Two bedroom units","Dollars","105.3.3","1009"
"2014","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Two bedroom units","Dollars","105.3.3","1015"
"2015","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Two bedroom units","Dollars","105.3.3","1044"
"2016","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Two bedroom units","Dollars","105.3.3","1062"
"2017","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Two bedroom units","Dollars","105.3.3","1086"
"2018","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Two bedroom units","Dollars","105.3.3","1138"
"2019","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Two bedroom units","Dollars","105.3.3","1244"
"2020","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Two bedroom units","Dollars","105.3.3","1315"
"2021","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Two bedroom units","Dollars","105.3.3","1379"
"2011","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Three bedroom units","Dollars","105.3.4","1150"
"2012","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Three bedroom units","Dollars","105.3.4","1176"
"2013","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Three bedroom units","Dollars","105.3.4","1192"
"2014","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Three bedroom units","Dollars","105.3.4","1183"
"2015","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Three bedroom units","Dollars","105.3.4","1203"
"2016","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Three bedroom units","Dollars","105.3.4","1235"
"2017","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Three bedroom units","Dollars","105.3.4","1282"
"2018","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Three bedroom units","Dollars","105.3.4","1302"
"2019","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Three bedroom units","Dollars","105.3.4","1401"
"2020","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Three bedroom units","Dollars","105.3.4","1519"
"2021","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Three bedroom units","Dollars","105.3.4","1546"
"2011","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","One bedroom units","Dollars","105.2.2","899"
"2012","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","One bedroom units","Dollars","105.2.2","888"
"2013","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","One bedroom units","Dollars","105.2.2","909"
"2014","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","One bedroom units","Dollars","105.2.2","921"
"2015","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","One bedroom units","Dollars","105.2.2","928"
"2016","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","One bedroom units","Dollars","105.2.2","794"
"2017","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","One bedroom units","Dollars","105.2.2","903"
"2018","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","One bedroom units","Dollars","105.2.2","904"
"2019","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","One bedroom units","Dollars","105.2.2","1076"
"2020","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","One bedroom units","Dollars","105.2.2","1124"
"2021","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","One bedroom units","Dollars","105.2.2","1152"
"2011","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Two bedroom units","Dollars","105.2.3","1077"
"2012","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Two bedroom units","Dollars","105.2.3","1105"
"2013","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Two bedroom units","Dollars","105.2.3","1111"
"2014","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Two bedroom units","Dollars","105.2.3","1103"
"2015","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Two bedroom units","Dollars","105.2.3","1156"
"2016","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Two bedroom units","Dollars","105.2.3","1177"
"2017","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Two bedroom units","Dollars","105.2.3","1191"
"2018","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Two bedroom units","Dollars","105.2.3","1225"
"2019","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Two bedroom units","Dollars","105.2.3","1390"
"2020","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Two bedroom units","Dollars","105.2.3","1421"
