Sl. No.,Transaction Name,Organization Industry,Organization Location,Funding Type,Money Raised,Announced Date,Announced Year,Funding Status,Total Funding Amount
105,Post-IPO Equity - RESAAS,"Enterprise Software, Real Estate","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,2800000,2013-07-20,2013,,29668690
106,Private Equity Round - InterRent REIT,Real Estate,"Ottawa, Ontario, Canada, North America",Private Equity,230136850,2020-06-04,2020,Private Equity,371731595
107,Post-IPO Debt - Parkit Enterprise,"Commercial Real Estate, Parking, Real Estate","Vancouver, British Columbia, Canada, North America",Post-IPO Debt,5000000,2014-09-05,2014,,108122939
108,Funding Round - letus (previously RentMoola),"Credit Cards, FinTech, Mobile Payments, Payments, Property Management, Real Estate","Vancouver, British Columbia, Canada, North America",Funding Round,,2020-10-14,2020,,10000000
109,Grant - Win-Win Homesharing,"Real Estate, Wellness","Ottawa, Ontario, Canada, North America",Grant,,2020-01-22,2020,,
110,Post-IPO Equity - OneMove Technologies,"B2B, Legal, Real Estate, SaaS, Software","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,1000000,2010-01-01,2010,,14363708
111,Non Equity Assistance - Loft47,"Real Estate, Software","Vancouver, British Columbia, Canada, North America",Non-equity Assistance,,2019-06-12,2019,,
112,Post-IPO Debt - H&R Real Estate Investment Trust,"Real Estate, Real Estate Investment","Toronto, Ontario, Canada, North America",Post-IPO Debt,250000000,2018-01-18,2018,,250000000
113,Debt Financing - Anthem Properties Group,"Commercial, Communities, Property Management, Real Estate","Vancouver, Alberta, Canada, North America",Debt Financing,200000000,2018-04-23,2018,,200000000
114,Venture Round - Avison Young,"Commercial Real Estate, Real Estate, Retail","Toronto, Ontario, Canada, North America",Venture - Series Unknown,32249311,2016-08-08,2016,,329949311
115,Pre Seed Round - Modern City Real Estate,"Building Material, Commercial Real Estate, Real Estate","Toronto, Ontario, Canada, North America",Pre-Seed,450000,2015-10-12,2015,Seed,3450000
116,Post-IPO Equity - True North Apartment REIT,"Real Estate, Venture Capital","Mississauga, Ontario, Canada, North America",Post-IPO Equity,12582000,2014-08-27,2014,,294752000
117,Seed Round - BrainBox AI,"Artificial Intelligence, Information Services, Information Technology, Real Estate","Montréal, Quebec, Canada, North America",Seed,12000000,2020-04-28,2020,Seed,38581788
118,Seed Round - Sante Veritas Therapeutics,"Art, Information Technology, Real Estate, Therapeutics","Vancouver, British Columbia, Canada, North America",Seed,267302,2017-02-14,2017,Seed,267302
119,Pre Seed Round - MapYourProperty,"Big Data, Commercial, Data Visualization, Legal, Legal Tech, Mapping Services, Real Estate","Toronto, Ontario, Canada, North America",Pre-Seed,120000,2018-09-10,2018,Seed,120000
120,Pre Seed Round - RentBook,"Apps, Mobile, Payments, Property Management, Real Estate","Toronto, Ontario, Canada, North America",Pre-Seed,260000,2020-08-05,2020,Seed,260000
121,Post-IPO Equity - Roxgold Inc.,"Mining, Precious Metals, Real Estate","Toronto, Ontario, Canada, North America",Post-IPO Equity,10250000,2013-08-21,2013,,170915255
